sexe,prenom,annee,nombre
1,ABDERAHMANE,2007,16
1,ABDERAHMANE,2010,10
1,ABDERAHMANE,2012,10
1,ABDERAHMANE,2014,20
1,ABDERAHMANE,2015,14
1,ABDERAHMANE,2017,11
1,ABDERRAHMAN,2011,16
1,ABDERRAHMAN,2012,19
1,ABDERRAHMAN,2014,20
1,ABDERRAHMAN,2015,19
1,ABDERRAHMAN,2016,24
1,ABDERRAHMAN,2017,15
1,ABDERRAHMAN,2018,17
1,ABDERRAHMAN,2019,13
1,ABDERRAHMAN,2020,19
1,ABDERRAHMAN,2022,10
1,ABDERRAHMANE,1964,10
1,ABDERRAHMANE,1965,13
1,ABDERRAHMANE,1966,14
1,ABDERRAHMANE,1967,10
1,ABDERRAHMANE,1981,10
1,ABDERRAHMANE,1993,11
1,ABDERRAHMANE,2000,16
1,ABDERRAHMANE,2001,13
1,ABDERRAHMANE,2005,10
1,ABDERRAHMANE,2006,19
1,ABDERRAHMANE,2007,24
1,ABDERRAHMANE,2008,28
1,ABDERRAHMANE,2009,24
1,ABDERRAHMANE,2010,48
1,ABDERRAHMANE,2011,30
1,ABDERRAHMANE,2012,50
1,ABDERRAHMANE,2013,54
1,ABDERRAHMANE,2014,43
1,ABDERRAHMANE,2015,46
1,ABDERRAHMANE,2016,43
1,ABDERRAHMANE,2017,25
1,ABDERRAHMANE,2018,44
1,ABDERRAHMANE,2019,23
1,ABDERRAHMANE,2020,23
1,ABDERRAHMANE,2021,20
1,ABDERRAHMANE,2022,13
1,ABDESSAMAD,2000,10
1,ABDON,1901,10
1,ABDON,1905,10
1,ABDON,1907,13
1,ABDON,1908,12
1,ABDON,1911,13
1,ABDON,1912,12
1,ABDON,1921,15
1,ABDON,1922,15
1,ABDON,1923,18
1,ABDON,1924,18
1,ABDON,1925,13
1,ABDON,1927,11
1,ABDON,1934,10
1,ABDON,1935,11
1,ABDON,1942,11
1,ABDON,1947,12
1,ABDON,1956,10
1,ABDOU,1983,11
1,ABDOU,1988,10
1,ABDOU,1994,15
1,ABDOU,2000,11
1,ABDOU,2005,14
1,ABDOU,2007,20
1,ABDOU,2008,20
1,ABDOU,2009,18
1,ABDOU,2010,28
1,ABDOU,2011,19
1,ABDOU,2012,25
1,ABDOU,2014,15
1,ABDOU,2015,24
1,ABDOU,2016,22
1,ABDOU,2017,24
1,ABDOU,2018,25
1,ABDOU,2019,18
1,ABDOU,2020,26
1,ABDOU,2021,21
1,ABDOU,2022,26
1,ABDOUL,1979,10
1,ABDOUL,1981,10
1,ABDOUL,1986,13
1,ABDOUL,1987,17
1,ABDOUL,1989,19
1,ABDOUL,1990,12
1,ABDOUL,1992,14
1,ABDOUL,1996,10
1,ABDOUL,1997,13
1,ABDOUL,1998,10
1,ABDOUL,2001,16
1,ABDOUL,2002,16
1,ABDOUL,2003,13
1,ABDOUL,2004,12
1,ABDOUL,2006,12
1,ABDOUL,2009,19
1,ABDOUL,2010,20
1,ABDOUL,2011,26
1,ABDOUL,2012,24
1,ABDOUL,2013,35
1,ABDOUL,2014,24
1,ABDOUL,2015,39
1,ABDOUL,2016,28
1,ABDOUL,2017,40
1,ABDOUL,2018,42
1,ABDOUL,2019,61
1,ABDOUL,2020,61
1,ABDOUL,2021,62
1,ABDOUL,2022,69
1,ABDOUL-AZIZ,2018,11
1,ABDOUL-KARIM,2017,10
1,ABDOULAYE,1974,10
1,ABDOULAYE,1976,12
1,ABDOULAYE,1977,12
1,ABDOULAYE,1979,20
1,ABDOULAYE,1980,18
1,ABDOULAYE,1981,19
1,ABDOULAYE,1982,34
1,ABDOULAYE,1983,47
1,ABDOULAYE,1984,49
1,ABDOULAYE,1985,44
1,ABDOULAYE,1986,40
1,ABDOULAYE,1987,57
1,ABDOULAYE,1988,62
1,ABDOULAYE,1989,35
1,ABDOULAYE,1990,40
1,ABDOULAYE,1991,42
1,ABDOULAYE,1992,34
1,ABDOULAYE,1993,44
1,ABDOULAYE,1994,47
1,ABDOULAYE,1995,34
1,ABDOULAYE,1996,37
1,ABDOULAYE,1997,41
1,ABDOULAYE,1998,32
1,ABDOULAYE,1999,31
1,ABDOULAYE,2000,58
1,ABDOULAYE,2001,64
1,ABDOULAYE,2002,67
1,ABDOULAYE,2003,59
1,ABDOULAYE,2004,70
1,ABDOULAYE,2005,78
1,ABDOULAYE,2006,77
1,ABDOULAYE,2007,57
1,ABDOULAYE,2008,89
1,ABDOULAYE,2009,78
1,ABDOULAYE,2010,83
1,ABDOULAYE,2011,91
1,ABDOULAYE,2012,97
1,ABDOULAYE,2013,122
1,ABDOULAYE,2014,96
1,ABDOULAYE,2015,108
1,ABDOULAYE,2016,88
1,ABDOULAYE,2017,125
1,ABDOULAYE,2018,149
1,ABDOULAYE,2019,120
